AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment_nanbool,AssetsCurrent,AssetsCurrent_nanbool,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue_nanbool,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecrease_nanbool,CommonStockParOrStatedValuePerShare,CommonStockParOrStatedValuePerShare_nanbool,CommonStockSharesAuthorized,CommonStockSharesAuthorized_nanbool,CommonStockSharesIssued,CommonStockSharesIssued_nanbool,CommonStockSharesOutstanding,CommonStockSharesOutstanding_nanbool,CommonStockValue,CommonStockValue_nanbool,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowance_nanbool,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit_nanbool,InterestExpense,InterestExpense_nanbool,InterestPaid,InterestPaid_nanbool,Liabilities,Liabilities_nanbool,LiabilitiesAndStockholdersEquity,LiabilitiesAndStockholdersEquity_nanbool,LiabilitiesCurrent,LiabilitiesCurrent_nanbool,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivities_nanbool,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivities_nanbool,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities_nanbool,NetIncomeLoss,NetIncomeLoss_nanbool,OperatingIncomeLoss,OperatingIncomeLoss_nanbool,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment_nanbool,PreferredStockSharesAuthorized,PreferredStockSharesAuthorized_nanbool,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentGross_nanbool,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentNet_nanbool,RetainedEarningsAccumulatedDeficit,RetainedEarningsAccumulatedDeficit_nanbool,ShareBasedCompensation,ShareBasedCompensation_nanbool,StockholdersEquity,StockholdersEquity_nanbool,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasic_nanbool,Targets(Assets)
0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
56489000.0,0,0.0,1,168924000.0,0,36233000.0,0,0.003,0,110000000.0,0,39460066.0,0,37318722.0,0,0.0,1,7428000.0,0,43730000.0,0,0.0,1,0.0,1,45676000.0,0,379884000.0,0,0.0,1,0.0,1,0.0,1,0.0,1,74806000.0,0,0.0,1,4627000.0,0,4855000.0,0,88674000.0,0,32185000.0,0,101813000.0,0,9769000.0,0,334208000.0,0,36930000.0,0,0.0
129253000.0,0,196519000.0,0,1490000.0,0,0.0,1,0.01,0,125000000.0,0,53663697.0,0,53663697.0,0,537000.0,0,0.0,1,22821000.0,0,46573000.0,0,42642000.0,0,1311358000.0,0,1649353000.0,0,92692000.0,0,0.0,1,0.0,1,0.0,1,0.0,1,116098000.0,0,19025000.0,0,1000000.0,0,245450000.0,0,116197000.0,0,238143000.0,0,2235000.0,0,337995000.0,0,53658100.0,0,0.0
3499000.0,0,85677000.0,0,46582000.0,0,2504000.0,0,0.001,0,130000000.0,0,108776247.0,0,107789611.0,0,108000.0,0,16158000.0,0,832000.0,0,48000.0,0,48000.0,0,19930000.0,0,109259000.0,0,18404000.0,0,-2146000.0,0,-12152000.0,0,16802000.0,0,6220000.0,0,7100000.0,0,0.0,1,5000000.0,0,8946000.0,0,5447000.0,0,-67575000.0,0,11453000.0,0,89329000.0,0,105793008.0,0,0.0
0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
72774.0,0,102325.0,0,64293.0,0,11602.0,0,0.001,0,100000000.0,0,65958931.0,0,65958931.0,0,65959.0,0,-472206.0,0,0.0,1,234395.0,0,31694.0,0,2834220.0,0,564246.0,0,2759586.0,0,22138.0,0,-78653.0,0,68117.0,0,-673311.0,0,-763424.0,0,0.0,1,10000000.0,0,239919.0,0,167145.0,0,-8014172.0,0,0.0,1,-2269974.0,0,64425649.0,0,0.0
0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.0,1,0.0,1,745472000.0,0,-100379000.0,0,1.0,0,120000000.0,0,44765153.0,0,44765153.0,0,44765000.0,0,121409000.0,0,390000.0,0,40968000.0,0,40400000.0,0,6459600000.0,0,9644782000.0,0,0.0,1,0.0,1,0.0,1,0.0,1,348450000.0,0,0.0,1,0.0,1,17200000.0,0,0.0,1,0.0,1,2448285000.0,0,31006000.0,0,3185182000.0,0,43368062.0,0,0.0
1183000.0,0,98596000.0,0,74284000.0,0,18588000.0,0,0.001,0,130000000.0,0,92758789.0,0,92678841.0,0,93000.0,0,205030000.0,0,700000.0,0,0.0,1,0.0,1,30144000.0,0,103628000.0,0,29311000.0,0,0.0,1,0.0,1,0.0,1,-111518000.0,0,-111229000.0,0,1489000.0,0,5000000.0,0,2715000.0,0,1532000.0,0,-550858000.0,0,26957000.0,0,73484000.0,0,0.0,1,0.0
75430000.0,0,98362000.0,0,3757000.0,0,-3299000.0,0,0.001,0,300000000.0,0,0.0,1,70281935.0,0,70000.0,0,19414000.0,0,1159000.0,0,9899000.0,0,8364000.0,0,100643000.0,0,218344000.0,0,20922000.0,0,-42243000.0,0,21222000.0,0,17722000.0,0,-44385000.0,0,-14704000.0,0,9657000.0,0,10000000.0,0,157050000.0,0,81620000.0,0,-82402000.0,0,273000.0,0,117701000.0,0,0.0,1,0.0
0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
118800000.0,0,998848000.0,0,281502000.0,0,94673000.0,0,0.0,1,200000000.0,0,73390000.0,0,73390000.0,0,15753000.0,0,7198000.0,0,186159000.0,0,0.0,1,0.0,1,0.0,1,2184950000.0,0,636981000.0,0,-604960000.0,0,150641000.0,0,548992000.0,0,311183000.0,0,493557000.0,0,22718000.0,0,10000000.0,0,185591000.0,0,66791000.0,0,1363141000.0,0,127156000.0,0,0.0,1,75395000.0,0,0.0
632745.0,0,8323415.0,0,4564595.0,0,2716024.0,0,0.01,0,75000000.0,0,26786693.0,0,26786693.0,0,267867.0,0,2518043.0,0,52479.0,0,362256.0,0,0.0,1,7500224.0,0,19170363.0,0,7266693.0,0,-114640.0,0,-20590.0,0,2851254.0,0,366488.0,0,781223.0,0,20590.0,0,0.0,1,1132384.0,0,499639.0,0,-21654870.0,0,229917.0,0,11670139.0,0,26628000.0,0,0.0
0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
72975000.0,0,0.0,1,164396000.0,0,-141118000.0,0,0.0,0,200000000.0,0,88691249.0,0,88691249.0,0,9000.0,0,2290000.0,0,48390000.0,0,31486000.0,0,26516000.0,0,9599570000.0,0,10600498000.0,0,0.0,1,1081606000.0,0,-1386013000.0,0,163289000.0,0,147951000.0,0,0.0,1,0.0,1,20000000.0,0,186793000.0,0,113818000.0,0,85453000.0,0,12465000.0,0,1000928000.0,0,86693000.0,0,0.0
0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
104075000.0,0,1128487000.0,0,127528000.0,0,0.0,1,0.0,0,45000000.0,0,21406000.0,0,21406000.0,0,0.0,0,7545000.0,0,-4923000.0,0,34791000.0,0,0.0,1,0.0,1,1349747000.0,0,729607000.0,0,0.0,1,0.0,1,0.0,1,-32157000.0,0,723000.0,0,16206000.0,0,0.0,1,312755000.0,0,208680000.0,0,137418000.0,0,2135000.0,0,376499000.0,0,20989000.0,0,1.0
591.0,0,14379.0,0,14379.0,0,4771.0,0,0.001,0,150000000.0,0,28933336.0,0,28933336.0,0,28933.0,0,12229.0,0,0.0,1,0.0,1,0.0,1,0.0,1,15205.0,0,4371.0,0,0.0,1,0.0,1,0.0,1,-26678.0,0,0.0,1,0.0,1,0.0,1,0.0,1,826.0,0,0.0,1,0.0,1,10834.0,0,0.0,1,0.0
0.0,1,0.0,1,0.0,1,2213.0,0,0.001,0,300000000.0,0,16530000.0,0,16530000.0,0,16530.0,0,0.0,1,0.0,1,0.0,1,0.0,0,198025.0,0,8195.0,0,0.0,1,0.0,1,0.0,1,-39511.0,0,-47981.0,0,0.0,1,0.0,1,15000000.0,0,0.0,1,0.0,1,0.0,1,0.0,1,-189830.0,0,0.0,1,1.0
10650758.0,0,6910944.0,0,149455.0,0,-100904.0,0,0.001,0,250000000.0,0,46730500.0,0,0.0,1,0.0,1,0.0,1,81339.0,0,0.0,1,0.0,1,3337166.0,0,10481547.0,0,5597352.0,0,798933.0,0,-534426.0,0,-365411.0,0,-503011.0,0,-316944.0,0,534826.0,0,0.0,1,12767975.0,0,2117217.0,0,219251.0,0,0.0,1,1547029.0,0,46730500.0,0,1.0
0.0,1,437772.0,0,437772.0,0,-198.0,0,0.001,0,800000000.0,0,5028136.0,0,5028136.0,0,0.0,1,0.0,1,0.0,1,1049.0,0,0.0,1,0.0,1,777700.0,0,5358.0,0,0.0,1,0.0,1,0.0,1,-394045.0,0,0.0,1,0.0,1,50000000.0,0,0.0,1,0.0,1,0.0,1,0.0,1,772342.0,0,0.0,1,1.0
69401000.0,0,730478000.0,0,189761000.0,0,39614000.0,0,0.01,0,500000000.0,0,69122271.0,0,0.0,1,691000.0,0,1385000.0,0,83749000.0,0,47215000.0,0,42592000.0,0,1392743000.0,0,1882542000.0,0,240522000.0,0,-116023000.0,0,-95491000.0,0,252986000.0,0,174613000.0,0,293375000.0,0,34689000.0,0,0.0,1,238222000.0,0,168821000.0,0,280426000.0,0,12612000.0,0,489799000.0,0,68538248.0,0,1.0
0.0,1,0.0,1,0.0,0,-4922.0,0,0.001,0,75000000.0,0,8110000.0,0,8110000.0,0,8110.0,0,0.0,1,0.0,1,0.0,1,0.0,1,7434.0,0,1150.0,0,0.0,1,28422.0,0,0.0,0,-33344.0,0,-29844.0,0,-29844.0,0,0.0,1,0.0,1,1150.0,0,0.0,1,-33372.0,0,0.0,1,0.0,1,6902548.0,0,0.0
0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.0,1,5943000000.0,0,617000000.0,0,-558000000.0,0,0.0,1,115000000.0,0,77000000.0,0,77000000.0,0,0.0,0,23000000.0,0,589000000.0,0,1711000000.0,0,0.0,1,61731000000.0,0,82304000000.0,0,7112000000.0,0,3725000000.0,0,-9418000000.0,0,5146000000.0,0,2095000000.0,0,4046000000.0,0,6555000000.0,0,0.0,1,0.0,1,59248000000.0,0,14513000000.0,0,0.0,1,20442000000.0,0,0.0,1,0.0
0.0,1,373670000.0,0,65314000.0,0,-1540000.0,0,0.01,0,100000000.0,0,44918649.0,0,44918649.0,0,449000.0,0,0.0,1,17537000.0,0,0.0,1,345000.0,0,268153000.0,0,553091000.0,0,199137000.0,0,0.0,1,0.0,1,0.0,1,26906000.0,0,44709000.0,0,0.0,1,1000000.0,0,0.0,1,148782000.0,0,250046000.0,0,7596000.0,0,284938000.0,0,43850000.0,0,1.0
0.0,1,0.0,1,47147000.0,0,1502000.0,0,0.01,0,200000000.0,0,124605074.0,0,124605074.0,0,1246000.0,0,0.0,1,0.0,1,0.0,1,86734000.0,0,1735175000.0,0,2104658000.0,0,0.0,1,-170725000.0,0,67494000.0,0,104818000.0,0,92099000.0,0,67192000.0,0,0.0,1,20000000.0,0,2450478000.0,0,1599791000.0,0,-2530671000.0,0,6122000.0,0,302990000.0,0,124158000.0,0,1.0
0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
-8777000.0,0,20850000.0,0,0.0,1,731000.0,0,0.1,0,10000000.0,0,3078315.0,0,3078315.0,0,308000.0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,23002000.0,0,1435000.0,0,-258000.0,0,-492000.0,0,1481000.0,0,1025000.0,0,1478000.0,0,493000.0,0,0.0,1,10929000.0,0,2152000.0,0,0.0,1,0.0,1,21199000.0,0,0.0,1,0.0
0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
